Section,Length(X),Wide(Y),Height(Z),Remark,,L0,W0,H0
F1,0,0,0,W = 0,,100,100,100
F2,0,100,0,,,100,100,100
F3,0,200,0,,,100,100,100
F4,0,300,0,,,100,100,100
F5,0,400,0,,,100,100,100
B1,100,100,0,W = W0,,100,100,100
B2,100,400,0,,,100,100,100
B3,100,300,0,,,100,100,100
B4,100,200,0,,,100,100,100
B5,100,100,0,,,100,100,100
T1,0,0,100,H = H0,,100,100,100
T2,0,0,400,,,100,100,100
T3,0,0,300,,,100,100,100
T4,0,0,200,,,100,100,100
T5,0,0,100,,,100,100,100
L1,0,100,0,"W = W0, L = 0",,100,100,100
L2,100,100,0,W = W0,,100,100,100
L3,200,100,0,W = W0,,100,100,100
L4,300,100,0,W = W0,,100,100,100
L5,400,100,0,W = W0,,100,100,100
R1,100,0,0,L = L0,,100,100,100
R2,400,0,0,,,100,100,100
R3,300,0,0,,,100,100,100
R4,200,0,0,,,100,100,100
R5,100,0,0,,,100,100,100
